Network of 28-10-90 with 546 segments - SE corner region
  2350.  2350.  20.	box dimensions in microns						
  47    47    1		"number of tissue points in x,y,z directions"					
  100			outer bound distance (100. in test case)				
  50				max. segment length.  (5. in test case)			
  8				"nodsegm, max. allowed number of segments per node"			
  445				total number of segments 			
name	type	from	to	diam		flow		HD	
361	5	346	137	13.5239	1.04E+01	0.4	
362	5	347	348	12.5958	8.82E+00	0.4	
363	5	348	250	12.5956	8.82E+00	0.4	
364	5	203	349	10.1854	8.12E+00	0.4	
365	5	349	347	10.1855	8.12E+00	0.4	
366	5	350	351	9.4408	3.04E+00	0.4	
367	5	351	203	9.4407	3.04E+00	0.4	
368	5	207	352	9.3026	3.33E+00	0.4	
369	5	352	350	9.3031	3.33E+00	0.4	
370	5	353	354	6.8203	-2.91E-01	0.4	
371	5	354	355	6.8185	-2.91E-01	0.4	
372	5	355	350	6.8159	-2.91E-01	0.4	
373	5	231	356	7.0683	4.12E-01	0.4	
374	5	356	357	7.0697	4.12E-01	0.4	
375	5	357	358	7.0705	4.12E-01	0.4	
376	5	358	353	7.0698	4.12E-01	0.4	
377	5	353	359	8.8242	7.03E-01	0.4	
378	5	359	360	8.8223	7.03E-01	0.4	
379	5	360	361	8.8209	7.03E-01	0.4	
380	5	361	347	8.82	7.03E-01	0.4	
381	5	124	362	9.8429	3.56E+00	0.4	
382	5	362	363	9.8432	3.56E+00	0.4	
383	5	363	211	9.8435	3.56E+00	0.4	
384	5	364	365	14.704	4.14E+00	0.4	
385	5	365	280	14.704	4.14E+00	0.4	
386	5	255	366	13.2296	1.72E+00	0.4	
387	5	366	367	13.2296	1.72E+00	0.4	
388	5	367	368	13.2298	1.72E+00	0.4	
389	5	368	364	13.2302	1.72E+00	0.4	
390	5	369	370	5.6435	1.11E+00	0.4	
391	5	370	255	5.6435	1.11E+00	0.4	
392	5	140	371	7.7544	3.53E+00	0.4	
393	5	371	369	7.7547	3.53E+00	0.4	
394	5	369	372	8.0816	2.43E+00	0.4	
395	5	372	373	8.082	2.43E+00	0.4	
396	5	373	364	8.0821	2.43E+00	0.4	
397	5	374	375	29.3423	1.63E+02	0.4	
398	5	375	256	29.3422	1.63E+02	0.4	
399	5	186	376	6.7748	1.83E+00	0.4	
400	5	376	374	6.7713	1.83E+00	0.4	
401	5	191	377	5.0331	5.07E-01	0.4	
402	5	377	378	5.0306	5.07E-01	0.4	
403	5	378	379	5.0277	5.07E-01	0.4	
404	5	379	380	5.0266	5.07E-01	0.4	
405	5	380	381	5.0255	5.07E-01	0.4	
406	5	381	186	5.0218	5.07E-01	0.4	
407	5	382	383	32.6381	1.62E+02	0.4	
408	5	383	384	32.6383	1.62E+02	0.4	
409	5	384	385	32.6384	1.62E+02	0.4	
410	5	385	386	32.6384	1.62E+02	0.4	
411	5	386	387	32.6384	1.62E+02	0.4	
412	5	387	388	32.6386	1.62E+02	0.4	
413	5	388	389	32.6384	1.62E+02	0.4	
414	5	389	390	32.6377	1.62E+02	0.4	
415	5	390	391	32.6369	1.62E+02	0.4	
416	5	391	392	32.6362	1.62E+02	0.4	
417	5	392	393	32.6359	1.62E+02	0.4	
